raw_text,text_tfidf,text_bert,time,prob_fear,prob_neutral,prob_greed,pred_label
다음에 또 보자,다음에 또 보자,다음에 또 보자,2024-10-15T15:08:19+09:00,0.0452,0.9036,0.0512,1
그래그래20넘이서 가자,그래그래20넘이서 가자,그래그래20넘이서 가자,2024-08-01T08:57:03+09:00,0.015,0.1404,0.8446,2
외인들 많이 돌아왔네...,외인들 많이 돌아왔네,외인들 많이 돌아왔네...,2024-07-29T16:06:41+09:00,0.1467,0.7584,0.095,1
물 탄다고 수량 너무 많아서 조금만 짜르고 20만까지 계속 홀드,물 탄다고 수량 너무 많아서 조금만 짜르고 20만까지 계속 홀드,물 탄다고 수량 너무 많아서 조금만 짜르고 20만까지 계속 홀드,2024-09-27T09:16:03+09:00,0.2123,0.6282,0.1595,1
"엄청 빌빌대네요…
오르긴 하겠죠..?ㅠ",엄청 빌빌대네요 오르긴 하겠죠,엄청 빌빌대네요 오르긴 하겠죠..?ㅠ,2024-10-28T12:25:28+09:00,0.1726,0.727,0.1004,1
내가 사니까 꼬라박네 ㅠ,내가 사니까 꼬라박네,내가 사니까 꼬라박네 ㅠ,2024-04-18T13:10:44+09:00,0.1273,0.8116,0.0612,1
으악.30퍼 팔렸네:;;,으악30퍼 팔렸네,으악.30퍼 팔렸네,2025-02-06T11:31:35+09:00,0.1129,0.8188,0.0683,1
이제 본전ㅠㅠㅠ,이제 본전,이제 본전ㅠㅠㅠ,2022-12-13T13:34:10+09:00,0.0652,0.9026,0.0322,1
줍줍일것인가...,줍줍일것인가,줍줍일것인가...,2024-08-26T12:54:41+09:00,0.1863,0.7522,0.0615,1
계속 매수하는거지머 ㅋㅋㅋ 존버다,계속 매수하는거지머 존버다,계속 매수하는거지머 ㅋㅋㅋ 존버다,2024-08-02T13:45:45+09:00,0.3484,0.3912,0.2604,1
ㄷㄷ,,ㄷㄷ,2024-11-26T08:48:39+09:00,0.0884,0.8936,0.018,1
127층 언제까지 추락하는지 관망중..,127층 언제까지 추락하는지 관망중,127층 언제까지 추락하는지 관망중..,2021-08-11T10:06:29+09:00,0.5587,0.3724,0.0688,0
소리벗고 팬티질러,소리벗고 팬티질러,소리벗고 팬티질러,2024-04-02T12:07:06+09:00,0.0964,0.8661,0.0375,1
진짜 너무 억까긴하다 오보난 삼전은 오르고 호재뜬 하닉은 너무내리찍네...,진짜 너무 억까긴하다 오보난 삼전은 오르고 호재뜬 하닉은 너무내리찍네,진짜 너무 억까긴하다 오보난 삼전은 오르고 호재뜬 하닉은 너무내리찍네...,2024-08-07T09:18:30+09:00,0.4013,0.3028,0.296,0
15층까지 쭉쭉 가겠네ㅋㅋ 반년동안 진짜 고생했다,15층까지 쭉쭉 가겠네 반년동안 진짜 고생했다,15층까지 쭉쭉 가겠네ㅋㅋ 반년동안 진짜 고생했다,2021-12-24T09:16:57+09:00,0.1361,0.7289,0.135,1
개잡주.,개잡주,개잡주.,2024-11-21T13:49:45+09:00,0.5389,0.4128,0.0483,0
커피,커피,커피,2024-11-04T15:30:51+09:00,0.036,0.934,0.03,1
오늘도 올라줄거지?,오늘도 올라줄거지,오늘도 올라줄거지?,2024-06-14T06:26:41+09:00,0.0405,0.1856,0.774,2
.,,.,2024-12-05T09:59:37+09:00,0.0387,0.9459,0.0154,1
"난 솔직히 하이닉스가 좋다 음음
가끔 우리에게 선물을 주고 가는게 자랑스럽기도 해
내년에도 열심히 해보자",난 솔직히 하이닉스가 좋다 음음 가끔 우리에게 선물을 주고 가는게 자랑스럽기도 해 내년에도 열심히 해보자,난 솔직히 하이닉스가 좋다 음음 가끔 우리에게 선물을 주고 가는게 자랑스럽기도 해 내년에도 열심히 해보자,2024-12-26T14:47:37+09:00,0.0384,0.4099,0.5517,2
와 삼성 주주로써 하이닉스가 부럽네요 .... ㅠㅠ,와 삼성 주주로써 하이닉스가 부럽네요,와 삼성 주주로써 하이닉스가 부럽네요 .... ㅠㅠ,2024-11-29T13:17:29+09:00,0.0364,0.9124,0.0512,1
미국 주식 아작났네요.,미국 주식 아작났네요,미국 주식 아작났네요.,2022-08-29T06:44:06+09:00,0.3435,0.5491,0.1074,1
여기도 괜찮은것 같습니다,여기도 괜찮은것 같습니다,여기도 괜찮은것 같습니다,2025-03-07T23:40:14+09:00,0.0561,0.9018,0.0421,1
18년 1월에 봅시다ㅎㅎ,18년 1월에 봅시다,18년 1월에 봅시다ㅎㅎ,2024-07-25T09:37:25+09:00,0.0404,0.9007,0.0589,1
익절,익절,익절,2025-01-31T09:14:36+09:00,0.0226,0.0551,0.9223,2
13 올리기는 힘들까나,13 올리기는 힘들까나,13 올리기는 힘들까나,2022-11-11T15:30:22+09:00,0.0882,0.7558,0.156,1
"20.7 가겠네 
팔까말까 ㅠ",207 가겠네 팔까말까,20.7 가겠네 팔까말까 ㅠ,2025-01-10T08:57:53+09:00,0.0637,0.8804,0.0558,1
굿굿,굿굿,굿굿,2024-06-07T09:23:57+09:00,0.0273,0.9394,0.0333,1
잘한다 !!! 멀었지만 하닉 믿어,잘한다 멀었지만 하닉 믿어,잘한다 !!! 멀었지만 하닉 믿어,2024-11-18T09:16:08+09:00,0.0593,0.8546,0.0861,1
흘러내리는거 멈쳐!,흘러내리는거 멈쳐,흘러내리는거 멈쳐!,2021-09-29T11:18:38+09:00,0.2985,0.6371,0.0644,1
"평단 199600 63주 
너무 고점에 매수했네ㅜㅜ",평단 199600 63주 너무 고점에 매수했네,평단 199600 63주 너무 고점에 매수했네ㅜㅜ,2024-08-16T18:57:02+09:00,0.2249,0.3615,0.4135,2
하이닉스 하이로 가야지 잘하고 있다!,하이닉스 하이로 가야지 잘하고 있다,하이닉스 하이로 가야지 잘하고 있다!,2025-03-07T13:26:57+09:00,0.0343,0.6909,0.2748,1
아혀,아혀,아혀,2024-08-27T13:23:48+09:00,0.0497,0.9328,0.0175,1
13.5에 들어왔다고 좋아했더랍니다...,135에 들어왔다고 좋아했더랍니다,13.5에 들어왔다고 좋아했더랍니다...,2021-08-10T12:08:15+09:00,0.0728,0.8318,0.0954,1
20가자 요번주20간다 매도금지요,20가자 요번주20간다 매도금지요,20가자 요번주20간다 매도금지요,2024-04-02T11:16:05+09:00,0.0654,0.0964,0.8381,2
내일 엔비디아에서 하이닉스 방문한다는게 사실인가요?,내일 엔비디아에서 하이닉스 방문한다는게 사실인가요,내일 엔비디아에서 하이닉스 방문한다는게 사실인가요?,2024-06-03T18:55:14+09:00,0.0708,0.7514,0.1778,1
20선 깨졌네 킹치만 지금 하락은 삼전 박살나서 그런거 같아요...그죵? 삼전이랑 하이닉스는 이제 다름 하이닉스 실적은 기대해도 될듯......아마도........,20선 깨졌네 킹치만 지금 하락은 삼전 박살나서 그런거 같아요그죵 삼전이랑 하이닉스는 이제 다름 하이닉스 실적은 기대해도 될듯아마도,20선 깨졌네 킹치만 지금 하락은 삼전 박살나서 그런거 같아요...그죵? 삼전이랑 하이닉스는 이제 다름 하이닉스 실적은 기대해도 될듯......아마도........,2024-01-10T15:33:04+09:00,0.4069,0.3434,0.2497,0
좀 반토막 났을때 사야긋다,좀 반토막 났을때 사야긋다,좀 반토막 났을때 사야긋다,2024-04-19T09:27:08+09:00,0.1291,0.4544,0.4165,1
하이닉스는 잡주입니다 :),하이닉스는 잡주입니다,하이닉스는 잡주입니다,2022-07-27T09:45:02+09:00,0.1801,0.7292,0.0907,1
가자!!!¡ @마이크론도 간다,가자 마이크론도 간다,가자!!! 마이크론도 간다,2023-03-30T22:07:15+09:00,0.0158,0.0636,0.9206,2
얜 진짜 인정입니다,얜 진짜 인정입니다,얜 진짜 인정입니다,2025-02-17T09:03:50+09:00,0.0441,0.924,0.0319,1
니취팔넘아,니취팔넘아,니취팔넘아,2024-09-10T13:32:31+09:00,0.0821,0.8971,0.0208,1
보너스락 주의,보너스락 주의,보너스락 주의,2022-04-27T14:20:09+09:00,0.2878,0.6114,0.1008,1
이거 왜 자꾸 올라요??삼전은 완전..,이거 왜 자꾸 올라요삼전은 완전,이거 왜 자꾸 올라요??삼전은 완전..,2024-03-02T16:46:09+09:00,0.1177,0.6702,0.2121,1
18찍자 가자,18찍자 가자,18찍자 가자,2024-08-12T12:53:05+09:00,0.0151,0.0758,0.9091,2
16.9에서 장마감할듯,169에서 장마감할듯,16.9에서 장마감할듯,2024-09-12T12:48:36+09:00,0.2779,0.6365,0.0856,1
"5주만..
간만에 국장이다",5주만 간만에 국장이다,5주만.. 간만에 국장이다,2024-10-04T13:53:34+09:00,0.0438,0.9102,0.046,1
외인500만주던질각 위메프랑티몬이컸나,외인500만주던질각 위메프랑티몬이컸나,외인500만주던질각 위메프랑티몬이컸나,2024-07-25T12:32:16+09:00,0.2178,0.6917,0.0905,1
하닉은 국장종목이 아닌거같네 ㅎㅎㅎㅎ,하닉은 국장종목이 아닌거같네,하닉은 국장종목이 아닌거같네 ㅎㅎㅎㅎ,2024-10-17T15:35:06+09:00,0.0998,0.8119,0.0883,1
"그냥 놔두면 올라가겠지. 
물타고싶은데 시드가 없네",그냥 놔두면 올라가겠지 물타고싶은데 시드가 없네,그냥 놔두면 올라가겠지. 물타고싶은데 시드가 없네,2024-05-08T09:31:31+09:00,0.0558,0.3167,0.6274,2
외인들 넘 털고있네ㅠㅠ 얼마나 떨굴려고 물량 절반을 던지고있냐 나쁘당ㅠㅠ 으~앙,외인들 넘 털고있네 얼마나 떨굴려고 물량 절반을 던지고있냐 나쁘당 으앙,외인들 넘 털고있네ㅠㅠ 얼마나 떨굴려고 물량 절반을 던지고있냐 나쁘당ㅠㅠ 으앙,2022-12-06T10:38:45+09:00,0.2603,0.6584,0.0812,1
"냉정하게 내년 1분기까진 힘들겁니다. 

멀리보면 매력적인 가격이라 떨어질때마다 분할 물타기!",냉정하게 내년 1분기까진 힘들겁니다 멀리보면 매력적인 가격이라 떨어질때마다 분할 물타기,냉정하게 내년 1분기까진 힘들겁니다. 멀리보면 매력적인 가격이라 떨어질때마다 분할 물타기!,2022-12-05T12:52:50+09:00,0.4128,0.3555,0.2317,0
하락은 작은 의심부터 시작된다.,하락은 작은 의심부터 시작된다,하락은 작은 의심부터 시작된다.,2024-08-04T20:16:18+09:00,0.3642,0.2776,0.3583,0
평단까지 3만남았어요. 행복해..ㅜㅜ,평단까지 3만남았어요 행복해,평단까지 3만남았어요. 행복해..ㅜㅜ,2024-08-13T09:16:18+09:00,0.0622,0.5865,0.3513,1
이런 날 18 뚫어야지 언제 뚫겠니~,이런 날 18 뚫어야지 언제 뚫겠니,이런 날 18 뚫어야지 언제 뚫겠니,2024-12-16T09:40:28+09:00,0.11,0.8064,0.0836,1
에휴 이제 몇개 안남았는데 어제 다 정리할껄,에휴 이제 몇개 안남았는데 어제 다 정리할껄,에휴 이제 몇개 안남았는데 어제 다 정리할껄,2024-10-31T08:44:13+09:00,0.1168,0.8099,0.0733,1
"170,575 / 20주 ;;;",170575 20주,"170,575 20주",2024-11-27T09:39:09+09:00,0.0871,0.8797,0.0332,1
15.1까지 간적 있었는데 한두번도 아니고,151까지 간적 있었는데 한두번도 아니고,15.1까지 간적 있었는데 한두번도 아니고,2024-09-04T09:45:28+09:00,0.1228,0.834,0.0432,1
삼전으로 갈아 타야되나!,삼전으로 갈아 타야되나,삼전으로 갈아 타야되나!,2024-07-04T11:19:23+09:00,0.1135,0.7855,0.101,1
"오늘 25만원 렛츠고

다들 어깨동무 걸어",오늘 25만원 렛츠고 다들 어깨동무 걸어,오늘 25만원 렛츠고 다들 어깨동무 걸어,2024-07-11T10:19:44+09:00,0.0988,0.7236,0.1776,1
"오늘장 마감이대로만해도 좋다. 
우리에겐 내일이 있고 모래가있고 그 다음이 있다.
딥스크 빔맞은거 엔비디아도 다시 회복중
왜냐고? 딥스크가 Software적으로 더 좋은 방향을 찾은거지 그게 hardware가 필요없다는게 아님.
지금 Artificial General Intelligence (AGI)을 목표해서 고성능 칩 수요가 늘고있다. 고성능 칩 수요는 늘었는데 밑에 급 칩수요도 딥시크로 늘었으니 오히려 호재임. 가자 삼성 박살내고 한국 1등 기업 고고고",오늘장 마감이대로만해도 좋다 우리에겐 내일이 있고 모래가있고 그 다음이 있다 딥스크 빔맞은거 엔비디아도 다시 회복중 왜냐고 딥스크가 Software적으로 더 좋은 방향을 찾은거지 그게 hardware가 필요없다는게 아님 지금 Artificial General Intelligence AGI을 목표해서 고성능 칩 수요가 늘고있다 고성능 칩 수요는 늘었는데 밑에 급 칩수요도 딥시크로 늘었으니 오히려 호재임 가자 삼성 박살내고 한국 1등 기업 고고고,오늘장 마감이대로만해도 좋다. 우리에겐 내일이 있고 모래가있고 그 다음이 있다. 딥스크 빔맞은거 엔비디아도 다시 회복중 왜냐고? 딥스크가 Software적으로 더 좋은 방향을 찾은거지 그게 hardware가 필요없다는게 아님. 지금 Artificial General Intelligence AGI을 목표해서 고성능 칩 수요가 늘고있다. 고성능 칩 수요는 늘었는데 밑에 급 칩수요도 딥시크로 늘었으니 오히려 호재임. 가자 삼성 박살내고 한국 1등 기업 고고고,2025-02-19T11:52:21+09:00,0.2028,0.2598,0.5374,2
가즈아,가즈아,가즈아,2024-09-20T07:06:40+09:00,0.0133,0.0654,0.9214,2
다시 돌아왔다 19층 올라가보자 내 마음도 올라간다~,다시 돌아왔다 19층 올라가보자 내 마음도 올라간다,다시 돌아왔다 19층 올라가보자 내 마음도 올라간다,2024-04-09T09:51:49+09:00,0.0284,0.068,0.9036,2
살벌하네..,살벌하네,살벌하네..,2024-07-25T10:31:35+09:00,0.1351,0.836,0.029,1
앞으로 실적 발표 하지마라,앞으로 실적 발표 하지마라,앞으로 실적 발표 하지마라,2024-07-25T17:43:32+09:00,0.1171,0.8096,0.0733,1
양전하는건 아니지?,양전하는건 아니지,양전하는건 아니지?,2024-04-22T15:18:57+09:00,0.0838,0.5062,0.41,1
개미 털기 끝났으니 이제 상승 진행시켜,개미 털기 끝났으니 이제 상승 진행시켜,개미 털기 끝났으니 이제 상승 진행시켜,2024-10-18T14:18:39+09:00,0.2026,0.1374,0.66,2
129천원에서 나가보자,129천원에서 나가보자,129천원에서 나가보자,2021-06-16T11:13:42+09:00,0.0376,0.5887,0.3737,1
음 기다려보까,음 기다려보까,음 기다려보까,2024-11-20T09:35:24+09:00,0.0525,0.9038,0.0436,1
오늘 18만원 안착,오늘 18만원 안착,오늘 18만원 안착,2024-05-10T13:58:09+09:00,0.0533,0.9113,0.0355,1
오늘 기대합니다,오늘 기대합니다,오늘 기대합니다,2024-09-27T06:57:27+09:00,0.027,0.8696,0.1034,1
여기서 몇달동안 잃은거 태슬라로 이틀만에 복구했네요,여기서 몇달동안 잃은거 태슬라로 이틀만에 복구했네요,여기서 몇달동안 잃은거 태슬라로 이틀만에 복구했네요,2024-11-12T11:00:53+09:00,0.2301,0.6294,0.1405,1
오늘 18 가나연~,오늘 18 가나연,오늘 18 가나연,2024-11-20T08:54:31+09:00,0.0827,0.8407,0.0766,1
지금 사도 될까요?,지금 사도 될까요,지금 사도 될까요?,2024-07-08T13:18:36+09:00,0.045,0.9159,0.0391,1
개미 다 털었어?,개미 다 털었어,개미 다 털었어?,2024-09-20T11:32:37+09:00,0.1857,0.7714,0.0429,1
300일선지키는거봐 흥,300일선지키는거봐 흥,300일선지키는거봐 흥,2024-12-20T12:56:00+09:00,0.1594,0.7879,0.0527,1
왜 나는 24층에사서 아직도 23층이고 고통받고 힘든건가요 왜 신고점갈때 물려서 아직도 고통받는걸까요 한달만늦게샀어도 16층일텐데 나도 하...ㅜㅜ 23층은 언제오며 신고점은 언제갈까요ㅜㅜ,왜 나는 24층에사서 아직도 23층이고 고통받고 힘든건가요 왜 신고점갈때 물려서 아직도 고통받는걸까요 한달만늦게샀어도 16층일텐데 나도 하 23층은 언제오며 신고점은 언제갈까요,왜 나는 24층에사서 아직도 23층이고 고통받고 힘든건가요 왜 신고점갈때 물려서 아직도 고통받는걸까요 한달만늦게샀어도 16층일텐데 나도 하...ㅜㅜ 23층은 언제오며 신고점은 언제갈까요ㅜㅜ,2025-02-17T10:50:15+09:00,0.2971,0.4399,0.263,1
지지선 뚫리자마자 소소하게 샀네요 차트 맹신론자로써,지지선 뚫리자마자 소소하게 샀네요 차트 맹신론자로써,지지선 뚫리자마자 소소하게 샀네요 차트 맹신론자로써,2024-09-19T14:07:12+09:00,0.2272,0.5936,0.1791,1
"신의 가호가 있기를~~
영~촤~~~🫰🫰",신의 가호가 있기를 영촤,신의 가호가 있기를 영촤,2024-11-20T08:31:23+09:00,0.074,0.5036,0.4224,1
12.4층 입성했습니다,124층 입성했습니다,12.4층 입성했습니다,2022-01-10T10:21:29+09:00,0.1533,0.7379,0.1089,1
17.3까지만 올려놓으면 갭채웠다고 생각할게ㅜ,173까지만 올려놓으면 갭채웠다고 생각할게,17.3까지만 올려놓으면 갭채웠다고 생각할게ㅜ,2024-12-20T09:22:08+09:00,0.2607,0.4569,0.2824,1
하늭은 지금이 제일 싸다구~,하늭은 지금이 제일 싸다구,하늭은 지금이 제일 싸다구,2024-10-24T12:18:08+09:00,0.0744,0.8511,0.0745,1
폭락장 다음에 더 큰 폭락장이 온다고 생각하지만 대부분 그렇지 않다고 한다. 그러나 무서운건 어쩔수없다.,폭락장 다음에 더 큰 폭락장이 온다고 생각하지만 대부분 그렇지 않다고 한다 그러나 무서운건 어쩔수없다,폭락장 다음에 더 큰 폭락장이 온다고 생각하지만 대부분 그렇지 않다고 한다. 그러나 무서운건 어쩔수없다.,2025-02-06T11:57:04+09:00,0.5437,0.1795,0.2768,0
"이제 -9.9 % 
올라갈 길이 멀다 가자..!",이제 99 올라갈 길이 멀다 가자,이제 9.9 올라갈 길이 멀다 가자..!,2024-07-24T10:51:45+09:00,0.0213,0.0608,0.9178,2
천만원쯤 추매 하려는데 시장가는 그렇죠?,천만원쯤 추매 하려는데 시장가는 그렇죠,천만원쯤 추매 하려는데 시장가는 그렇죠?,2025-01-10T08:52:29+09:00,0.7405,0.1653,0.0942,0
죽쓰네 십버님,죽쓰네 십버님,죽쓰네 십버님,2024-08-26T12:09:48+09:00,0.1573,0.7828,0.0599,1
이런 바보같은 주식이 다있네,이런 바보같은 주식이 다있네,이런 바보같은 주식이 다있네,2024-12-26T12:05:40+09:00,0.1117,0.8182,0.0701,1
하..민폐덩어리 하닉스,하민폐덩어리 하닉스,하..민폐덩어리 하닉스,2021-07-20T13:46:03+09:00,0.1162,0.8507,0.0331,1
가즈아,가즈아,가즈아,2024-10-02T10:58:51+09:00,0.0133,0.0654,0.9214,2
"그동안 많이 올랐으니 호재 해소느낌으로 떨어질 수 있지...
아주 건강한 숨고르기",그동안 많이 올랐으니 호재 해소느낌으로 떨어질 수 있지 아주 건강한 숨고르기,그동안 많이 올랐으니 호재 해소느낌으로 떨어질 수 있지... 아주 건강한 숨고르기,2025-01-23T10:30:37+09:00,0.3005,0.2602,0.4393,2
와 다행이다,와 다행이다,와 다행이다,2024-07-12T09:39:57+09:00,0.0622,0.8924,0.0453,1
"만우절 아니죠?

어제 대왕고래 예산 다 깎아서 열 받은 듯.;;;",만우절 아니죠 어제 대왕고래 예산 다 깎아서 열 받은 듯,만우절 아니죠? 어제 대왕고래 예산 다 깎아서 열 받은 듯.,2024-12-03T22:43:09+09:00,0.1374,0.6224,0.2403,1
좋아,좋아,좋아,2024-08-13T16:31:23+09:00,0.0317,0.936,0.0323,1
우마이,우마이,우마이,2025-01-07T09:37:22+09:00,0.047,0.9263,0.0267,1
추매 추매?!,추매 추매,추매 추매?!,2024-11-29T12:14:37+09:00,0.8175,0.1203,0.0622,0
209500,209500,209500,2024-07-17T13:05:22+09:00,0.049,0.9317,0.0193,1
"몇주 없긴 한데 안들어왔습니다..
언제들어오는걸까욥?",몇주 없긴 한데 안들어왔습니다 언제들어오는걸까욥,몇주 없긴 한데 안들어왔습니다.. 언제들어오는걸까욥?,2024-11-18T11:38:35+09:00,0.1534,0.6835,0.1631,1
-4.4에서 못주운게 한이다 ㅠ,44에서 못주운게 한이다,4.4에서 못주운게 한이다 ㅠ,2024-07-04T09:51:39+09:00,0.1082,0.8267,0.0651,1
얼른 올라가라 바로 팔아버릴거야,얼른 올라가라 바로 팔아버릴거야,얼른 올라가라 바로 팔아버릴거야,2021-08-25T14:54:43+09:00,0.0281,0.0982,0.8737,2
내일 오른다 내린다,내일 오른다 내린다,내일 오른다 내린다,2024-05-26T19:35:44+09:00,0.0552,0.115,0.8298,2
와 판매대기 20만...,와 판매대기 20만,와 판매대기 20만...,2024-12-17T13:10:17+09:00,0.1965,0.7192,0.0843,1
"91,000원에 한주 살포시 구입했습니다",91000원에 한주 살포시 구입했습니다,"91,000원에 한주 살포시 구입했습니다",2022-06-24T19:54:51+09:00,0.1131,0.7388,0.1481,1
동생도 가겠쥬??,동생도 가겠쥬,동생도 가겠쥬??,2024-05-26T10:19:43+09:00,0.0657,0.8703,0.0641,1
아직 미장이 복잡한디..,아직 미장이 복잡한디,아직 미장이 복잡한디..,2024-09-05T10:38:40+09:00,0.0961,0.8603,0.0436,1
안녕하세요 아이디 바꿨습니다,안녕하세요 아이디 바꿨습니다,안녕하세요 아이디 바꿨습니다,2025-03-21T13:09:44+09:00,0.0623,0.8723,0.0654,1
나중에 오겠슴다..,나중에 오겠슴다,나중에 오겠슴다..,2025-01-09T12:27:16+09:00,0.0346,0.8665,0.099,1
아이고 아이고  아이고  이제가면 언제20오나 아이고 아이고 아이고,아이고 아이고 아이고 이제가면 언제20오나 아이고 아이고 아이고,아이고 아이고 아이고 이제가면 언제20오나 아이고 아이고 아이고,2024-09-23T08:59:09+09:00,0.1006,0.7841,0.1153,1
선택,선택,선택,2024-08-05T15:13:25+09:00,0.1089,0.8624,0.0287,1
"아니 왜케마니떨어지는거야 ㅠㅠ
나 엄청삿는뎅 ㅠㅠ
올라가야해",아니 왜케마니떨어지는거야 나 엄청삿는뎅 올라가야해,아니 왜케마니떨어지는거야 ㅠㅠ 나 엄청삿는뎅 ㅠㅠ 올라가야해,2024-04-03T10:39:26+09:00,0.0427,0.0966,0.8607,2
화이팅,화이팅,화이팅,2021-10-13T02:41:32+09:00,0.0319,0.9372,0.0309,1
엔비 힘이 지리긴 한다,엔비 힘이 지리긴 한다,엔비 힘이 지리긴 한다,2024-06-18T16:58:36+09:00,0.0516,0.8791,0.0693,1
ㅇ,,ㅇ,2025-01-31T15:00:42+09:00,0.043,0.9387,0.0183,1
나갈분둘운 나가세요. 내년까지 기다려야겠다 나는,나갈분둘운 나가세요 내년까지 기다려야겠다 나는,나갈분둘운 나가세요. 내년까지 기다려야겠다 나는,2024-12-16T10:03:02+09:00,0.1254,0.5926,0.2821,1
#오르겠죠 ㅋㅋ,오르겠죠,오르겠죠 ㅋㅋ,2024-08-23T16:34:56+09:00,0.098,0.8133,0.0888,1
이야... 어디까지 내려가는거에요~?,이야 어디까지 내려가는거에요,이야... 어디까지 내려가는거에요?,2022-04-07T09:05:19+09:00,0.1145,0.7517,0.1339,1
ㅋ,,ㅋ,2024-05-02T12:34:25+09:00,0.0483,0.935,0.0166,1
오늘 19만 내일 20만,오늘 19만 내일 20만,오늘 19만 내일 20만,2024-09-27T11:10:58+09:00,0.0461,0.8538,0.1,1
"마이너스 7퍼인데
오늘 탈출가능하긋네 ㅋㅋ",마이너스 7퍼인데 오늘 탈출가능하긋네,마이너스 7퍼인데 오늘 탈출가능하긋네 ㅋㅋ,2024-09-26T08:50:36+09:00,0.3321,0.53,0.138,1
재밌당 ㅎ,재밌당,재밌당 ㅎ,2024-04-11T12:11:03+09:00,0.0553,0.9186,0.0261,1
치킨 사먹어야지,치킨 사먹어야지,치킨 사먹어야지,2023-05-25T21:15:16+09:00,0.0636,0.8912,0.0452,1
쭉쭉 잘가네요,쭉쭉 잘가네요,쭉쭉 잘가네요,2024-10-10T11:10:38+09:00,0.0816,0.8357,0.0827,1
나도 이제 주주야? 헷,나도 이제 주주야 헷,나도 이제 주주야? 헷,2022-04-14T17:06:19+09:00,0.0865,0.8241,0.0894,1
"절반 익절했는디 생각해보니까 실수한거같다
기관이랑 버거놈들이 나보다 똑똑할텐데
낼 새벽에 마이크론 실적발표를알고도 쓸어담았다?
내일 또 껄무새가 될거같다 젠장",절반 익절했는디 생각해보니까 실수한거같다 기관이랑 버거놈들이 나보다 똑똑할텐데 낼 새벽에 마이크론 실적발표를알고도 쓸어담았다 내일 또 껄무새가 될거같다 젠장,절반 익절했는디 생각해보니까 실수한거같다 기관이랑 버거놈들이 나보다 똑똑할텐데 낼 새벽에 마이크론 실적발표를알고도 쓸어담았다? 내일 또 껄무새가 될거같다 젠장,2024-09-25T18:48:38+09:00,0.2904,0.1946,0.515,2
드디어 양전.. 맘 고생 심했다,드디어 양전 맘 고생 심했다,드디어 양전.. 맘 고생 심했다,2024-08-16T11:43:25+09:00,0.0848,0.1805,0.7347,2
"왤케 욕심들이 많냐ㅋㅋ 일주일동안 10퍼 넘게 말아올렸으면 많이 올린거지 괜히 급등했다가 음전빔 맞는거보단 이렇게 올리는게 맞다
단타칠거면 저기 트럼프나 슈마컴으로 가시고",왤케 욕심들이 많냐 일주일동안 10퍼 넘게 말아올렸으면 많이 올린거지 괜히 급등했다가 음전빔 맞는거보단 이렇게 올리는게 맞다 단타칠거면 저기 트럼프나 슈마컴으로 가시고,왤케 욕심들이 많냐ㅋㅋ 일주일동안 10퍼 넘게 말아올렸으면 많이 올린거지 괜히 급등했다가 음전빔 맞는거보단 이렇게 올리는게 맞다 단타칠거면 저기 트럼프나 슈마컴으로 가시고,2024-11-08T12:37:36+09:00,0.4075,0.1742,0.4183,2
이거 냘 어캐 될련가,이거 냘 어캐 될련가,이거 냘 어캐 될련가,2024-07-11T15:30:50+09:00,0.1241,0.8305,0.0454,1
화장품하고 2차전지로 수급이 쏠리니까.,화장품하고 2차전지로 수급이 쏠리니까,화장품하고 2차전지로 수급이 쏠리니까.,2024-09-02T09:08:09+09:00,0.1797,0.4615,0.3588,1
어서 들어오시오~~,어서 들어오시오,어서 들어오시오,2025-01-10T09:15:38+09:00,0.045,0.7229,0.2321,1
드뎌  조금먹고  갑니다,드뎌 조금먹고 갑니다,드뎌 조금먹고 갑니다,2024-09-26T15:24:33+09:00,0.0299,0.4204,0.5497,2
넌또 왜 바닥을기냐 일어나라  뛰어  피같은돈 녹는다,넌또 왜 바닥을기냐 일어나라 뛰어 피같은돈 녹는다,넌또 왜 바닥을기냐 일어나라 뛰어 피같은돈 녹는다,2024-11-13T14:08:58+09:00,0.2708,0.5963,0.1329,1
매수타이밍,매수타이밍,매수타이밍,2024-10-29T11:36:24+09:00,0.518,0.3859,0.0961,0
내가 물탄 가격보다는 높이 끝나주라,내가 물탄 가격보다는 높이 끝나주라,내가 물탄 가격보다는 높이 끝나주라,2024-10-10T14:13:57+09:00,0.1011,0.4605,0.4385,1
이번주까지 20찍으면 햄버거2개 먹어야징,이번주까지 20찍으면 햄버거2개 먹어야징,이번주까지 20찍으면 햄버거2개 먹어야징,2024-04-01T13:57:55+09:00,0.1456,0.5507,0.3037,1
개장수한테 팔아 벌라,개장수한테 팔아 벌라,개장수한테 팔아 벌라,2025-02-21T09:36:52+09:00,0.1418,0.8036,0.0546,1
"외인 대량 매도네.
떨어지는 칼은 잡지 말라고 했어요.",외인 대량 매도네 떨어지는 칼은 잡지 말라고 했어요,외인 대량 매도네. 떨어지는 칼은 잡지 말라고 했어요.,2024-07-17T11:34:20+09:00,0.6294,0.235,0.1356,0
"마이너스 10%,,,",마이너스 10,"마이너스 10,,,",2025-01-31T08:50:39+09:00,0.0888,0.8254,0.0858,1
내일 가격 예상,내일 가격 예상,내일 가격 예상,2024-09-18T16:54:27+09:00,0.0948,0.8299,0.0753,1
